Removed Pin From Net: NetName=NetC10_1 Pin=R9-1
Removed Pin From Net: NetName=GND Pin=U6-6
Change Component Comment : Designator=R33 Old Comment=1K5 1% New Comment=10K 1%
Change Component Comment : Designator=R34 Old Comment=1K5 1% New Comment=10K 1%
Change Component Comment : Designator=R9 Old Comment=14K 1% New Comment=9K31
Change Component Comment : Designator=R10 Old Comment=115K 1% New Comment=69K8
Change component parameters: Designator = "BAT1" ("BAT1"); Footprint = "CR1220H"; UniqueID = "\NJAAVEHV\BYFYWECB" ("\NJAAVEHV\BYFYWECB")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "STPS3L60U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_STKY_STPS3L60U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "497-6584-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "STPS3L60U"; VariantName = "[No Variations]"
Change component parameters: Designator = "D2" ("D2"); Footprint = "SOD123"; UniqueID = "\NJAAVEHV\PRLQSGMR" ("\NJAAVEHV\PRLQSGMR")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_STKY_MBR0520L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MBR0520LTR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "MBR0520L"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ1" ("DZ1"); Footprint = "DO-214AC"; UniqueID = "\BBQHUKED\VUJMQNTR" ("\BBQHUKED\VUJMQNTR")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Microsemi Corporation"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SMAJ4751CE3/TR13"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_30V_DO-214AC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "SMAJ4751CE3/TR13-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "30V 2W"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ2" ("DZ2"); Footprint = "SOD523"; UniqueID = "\BBQHUKED\TSXOUOQQ" ("\BBQHUKED\TSXOUOQQ")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "DZ2S036M0L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_3V6_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DZ2S036M0LCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3V6 150mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ3" ("DZ3"); Footprint = "SOD523"; UniqueID = "\SFEGAWHH\ELBBPUQK" ("\SFEGAWHH\ELBBPUQK")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "DZ2S036M0L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_3V6_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DZ2S036M0LCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3V6 150mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ4" ("DZ4"); Footprint = "SOD523"; UniqueID = "\SFEGAWHH\OBJPBBTK" ("\SFEGAWHH\OBJPBBTK")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "DZ2S036M0L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_3V6_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DZ2S036M0LCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3V6 150mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ5" ("DZ5"); Footprint = "SOD523"; UniqueID = "\SFEGAWHH\NBXNUMXB" ("\SFEGAWHH\NBXNUMXB")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "JS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "MM5Z5V1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "Fairchild Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_5V1_200mW_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MM5Z5V1CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "5V1 200mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ6" ("DZ6"); Footprint = "SOD523"; UniqueID = "\SFEGAWHH\DUSXLRAW" ("\SFEGAWHH\DUSXLRAW")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "JS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "MM5Z5V1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "Fairchild Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_5V1_200mW_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MM5Z5V1CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "5V1 200mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ7" ("DZ7"); Footprint = "SOD523"; UniqueID = "\MLKEBXPQ\VLGAMURQ" ("\MLKEBXPQ\VLGAMURQ")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "DZ2S036M0L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_3V6_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DZ2S036M0LCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3V6 150mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ8" ("DZ8"); Footprint = "SOD523"; UniqueID = "\MLKEBXPQ\VXIEDCKE" ("\MLKEBXPQ\VXIEDCKE")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "DZ2S036M0L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_3V6_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DZ2S036M0LCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3V6 150mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ9" ("DZ9"); Footprint = "SOD523"; UniqueID = "\MLKEBXPQ\RTLALNRS" ("\MLKEBXPQ\RTLALNRS")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "DZ2S036M0L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_3V6_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DZ2S036M0LCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3V6 150mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "DZ10" ("DZ10"); Footprint = "SOD523"; UniqueID = "\MLKEBXPQ\SWTKRHDY" ("\MLKEBXPQ\SWTKRHDY")
Change component parameters (AddParameter): Name = "APROBO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CREO"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "DZ2S036M0L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DIO_ZEN_3V6_SOD523"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DZ2S036M0LCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3V6 150mW"; VariantName = "[No Variations]"
Change component parameters: Designator = "J1" ("J1"); Footprint = "PIN_CABLE"; UniqueID = "\BBQHUKED\UWHEJQJO" ("\BBQHUKED\UWHEJQJO")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J2" ("J2"); Footprint = "046810640021846"; UniqueID = "\MHDNAPTU\NPGFDXNZ" ("\MHDNAPTU\NPGFDXNZ")
Change component parameters (AddParameter): Name = "Aprobo"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KYOCERA AVX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "046810640021846+T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "FPC_40POS__BOT_0.5MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "JP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "478-046810640021846+TCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "FPC_40"; VariantName = "[No Variations]"
Change component parameters: Designator = "J3" ("J3"); Footprint = "PIN_CABLE"; UniqueID = "\SFEGAWHH\XUGFVADL" ("\SFEGAWHH\XUGFVADL")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J4" ("J4"); Footprint = "PIN_CABLE"; UniqueID = "\SFEGAWHH\PCXRKIOH" ("\SFEGAWHH\PCXRKIOH")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J5" ("J5"); Footprint = "PIN_CABLE"; UniqueID = "\SFEGAWHH\NGHOTDOB" ("\SFEGAWHH\NGHOTDOB")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J6" ("J6"); Footprint = "PIN_CABLE"; UniqueID = "\SFEGAWHH\KCODGKVR" ("\SFEGAWHH\KCODGKVR")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J7" ("J7"); Footprint = "PIN_CABLE"; UniqueID = "\SFEGAWHH\YQDULRDP" ("\SFEGAWHH\YQDULRDP")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J8" ("J8"); Footprint = "SIP3*2"; UniqueID = "\NJAAVEHV\FWMDLDKC" ("\NJAAVEHV\FWMDLDKC")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "HEADER_2x3POS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "MV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "ElectroComponentes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "HEADER_2x3POS"; VariantName = "[No Variations]"
Change component parameters: Designator = "J9" ("J9"); Footprint = "SIP5"; UniqueID = "\NJAAVEHV\OMSIKOCC" ("\NJAAVEHV\OMSIKOCC")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Harwin Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "M20-9990545"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "HEADER_5POS_0.1""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "952-2267-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "HEADER_5POS_0.1""; VariantName = "[No Variations]"
Change component parameters: Designator = "J10" ("J10"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\NNMTDTUL" ("\MLKEBXPQ\NNMTDTUL")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J11" ("J11"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\QWRHLNTM" ("\MLKEBXPQ\QWRHLNTM")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J12" ("J12"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\AGRLQRHD" ("\MLKEBXPQ\AGRLQRHD")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J13" ("J13"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\YKKIEQSC" ("\MLKEBXPQ\YKKIEQSC")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J14" ("J14"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\QVDSTWJF" ("\MLKEBXPQ\QVDSTWJF")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
